order_id,order_time,location,cuisine,total_items,order_value
1,2026-07-19 22:57:00,Pune,Italian,2,924
2,2026-05-02 18:05:00,Pune,Fast Food,3,910
3,2026-01-19 21:44:00,Hyderabad,Biryani,2,1383
4,2026-06-17 21:58:00,Pune,Fast Food,5,956
5,2026-05-28 07:51:00,Delhi,Indian,6,375
6,2026-01-25 18:18:00,Mumbai,South Indian,6,214
7,2026-05-19 19:47:00,Pune,Chinese,5,246
8,2026-02-10 17:00:00,Bangalore,South Indian,2,888
9,2026-02-09 21:24:00,Hyderabad,South Indian,5,1160
10,2026-07-15 03:04:00,Hyderabad,Indian,5,292
11,2026-05-14 20:37:00,Pune,Desserts,2,1341
12,2026-01-18 09:13:00,Bangalore,Desserts,5,557
13,2026-06-16 00:34:00,Delhi,Biryani,2,402
14,2026-06-11 15:14:00,Bangalore,Chinese,6,1253
15,2026-02-09 13:35:00,Pune,Biryani,4,966
16,2026-04-25 12:01:00,Mumbai,Chinese,4,280
17,2026-05-22 09:38:00,Hyderabad,Fast Food,5,501
18,2026-04-09 16:48:00,Pune,North Indian,1,1070
19,2026-02-16 14:41:00,Delhi,Biryani,3,358
20,2026-04-19 14:20:00,Bangalore,Desserts,2,561
21,2026-03-21 06:35:00,Pune,North Indian,6,394
22,2026-05-23 11:15:00,Mumbai,South Indian,4,172
23,2026-06-21 14:06:00,Kolkata,Chinese,1,1294
24,2026-04-22 14:31:00,Delhi,Indian,2,1254
25,2026-07-11 16:56:00,Mumbai,Biryani,2,676
26,2026-03-02 05:41:00,Delhi,Italian,3,436
27,2026-01-16 11:33:00,Mumbai,Indian,5,651
28,2026-04-01 03:09:00,Delhi,Fast Food,1,1055
29,2026-03-06 08:45:00,Kolkata,Italian,6,701
30,2026-07-14 15:51:00,Mumbai,Indian,5,668
31,2026-05-30 09:52:00,Kolkata,Italian,1,826
32,2026-05-19 20:26:00,Kolkata,Indian,4,1155
33,2026-02-10 16:38:00,Pune,South Indian,2,988
34,2026-07-18 19:20:00,Delhi,North Indian,2,1433
35,2026-02-12 06:17:00,Delhi,Biryani,1,1077
36,2026-06-26 07:36:00,Pune,Biryani,2,557
37,2026-05-16 22:29:00,Kolkata,Biryani,6,667
38,2026-03-23 17:55:00,Kolkata,Chinese,5,270
39,2026-05-24 04:08:00,Kolkata,South Indian,2,354
40,2026-06-30 20:02:00,Delhi,Biryani,1,1049
